"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"DD DOG CHOW LX 04LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD BEYOND SMP9 14.5-15.5LB","Dry Dog","ROM","Fareway","Beyond",0,0
"CW PURINA ONE 03OZ","Wet Cat","ROM","Fareway","Purina One",0,0
"CW BEYOND 03OZ","Wet Cat","ROM","Fareway","Beyond",0,0
"DT HONEST TO DOG AOF","Dog Treats","Retailer","Fareway","Honest To Dog",0,0
"DD PUPPY CHOW 08.8LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD PRO PLAN ESSENTIAL 33-35LB","Dry Dog","ROM","Fareway","Pro Plan",0,0
"DD BENEFUL PREMIUM 09.4-12.5LB","Dry Dog","Retailer","Fareway","Beneful",0,0
"DD BENEFUL PREMIUM 09.4-12.5LB","Dry Dog","ROM","Fareway","Beneful",0,0
"DD MOIST AND MEATY 012OZ","Dry Dog","ROM","Fareway","Moist & Meaty",0,0
"DT BEGGIN MT 25OZ","Dog Treats","Retailer","Fareway","Beggin'",0,0
"DT BEGGIN MT 25OZ","Dog Treats","ROM","Fareway","Beggin'",0,0
"DT BUSY CW 06.5-7OZ","Dog Treats","ROM","Fareway","Busy",0,0
"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Retailer","Fareway","Friskies",0,0
"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","ROM","Fareway","Friskies",0,0
"CW AO PREMIUM","Wet Cat","Retailer","Fareway","Friskies",0,0
"DD PURINA ONE TRU INST 07.4LB","Dry Dog","ROM","Fareway","Purina One",0,0
"DD DOG CHOW GREEN BG 18.5-20LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD DOG CHOW GREEN BG 18.5-20LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD PUPPY CHOW 16.5LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD PUPPY CHOW 16.5LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD PURINA ONE TRU INST GF 03LB","Dry Dog","ROM","Fareway","Purina One",0,0
