"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1273DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 48LB","NPP","ROM","ALBSCO",1,"Dog Chow Line"
"ITEM1274DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","Retailer","ALBSCO",2,"Beneful"
"ITEM1274DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","ROM","ALBSCO",1,"Beneful"
"ITEM1276DDALPO","Dry Dog","DD ALPO 28-31LB","NPP","ROM","ALBSCO",1,"Alpo"
"ITEM1277DDALPO","Dry Dog","DD ALPO 47-50LB","NPP","ROM","ALBSCO",1,"Alpo"
"ITEM1278DDALPO","Dry Dog","DD ALPO 15LB","NPP","ROM","ALBSCO",1,"Alpo"
"ITEM127ALPOVARIETYSNAPSCR","Dog Treats","DT ALPO VARIETY SNAPS CR 32OZ","NPP","Retailer","ALBSCO",2,"Alpo"
"ITEM127ALPOVARIETYSNAPSCR","Dog Treats","DT ALPO VARIETY SNAPS CR 32OZ","NPP","ROM","ALBSCO",2,"Alpo"
"ITEM1280DDALPO","Dry Dog","DD ALPO 17.6LB","NPP","ROM","ALBSCO",1,"Alpo"
"ITEM1281DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","ROM","ALBSCO",1,"Beneful"
"ITEM1282DDBENEFUL","Dry Dog","DD BENEFUL 12LB","NPP","ROM","ALBSCO",1,"Beneful"
"ITEM1283DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","Retailer","ALBSCO",2,"Beneful"
"ITEM1283DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","ROM","ALBSCO",2,"Beneful"
"ITEM1284DDBENEFUL","Dry Dog","DD BENEFUL 03.5LB","NPP","Retailer","ALBSCO",2,"Beneful"
"ITEM1284DDBENEFUL","Dry Dog","DD BENEFUL 03.5LB","NPP","ROM","ALBSCO",2,"Beneful"
"ITEM1285DDBENEFUL","Dry Dog","DD BENEFUL 40LB","NPP","ROM","ALBSCO",2,"Beneful"
