"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross","Within","Within_non_normalised","Cross_non_normalised","true_lift_doll","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_TPR_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2"
"ITEM11229CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.71623977521979,3.71623977521979,0,0,0,0,0.002575,1.10507250177612,0,0,28.9230769230769,2868.39256171319,2868.39256171319,1,3.91048168111446,2.47925891275495,NA,5.18957396728257,0,10659.6345287831,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.71623977521979,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11229CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.71623977521979,3.71623977521979,0,0,0,0,0.002575,1.07738179258124,0,0,26,2481.56305172666,2481.56305172666,1,3.91048168111446,2.47925891275495,NA,5.18957396728257,0,9222.08331754242,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.71623977521979,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11230CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.986169537590824,0.986169537590824,0,0,0,0,0.00536,1.24786340127653,0,0,35,3037995.30390406,3037995.30390406,1,2.47925891275495,NA,NA,NA,0,2995978.42405416,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.986169537590824,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11230CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.986169537590824,0.986169537590824,0,0,0,0,0.00536,1.16018008340086,0,0,31.9230769230769,837257.505201558,837257.505201558,1,2.47925891275495,NA,NA,NA,0,825677.846749067,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.986169537590824,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11230CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.986169537590824,0.986169537590824,0,0,0,0,0.00536,1.10507250177612,0,0,28.9230769230769,238616.960043317,238616.960043317,1,2.47925891275495,NA,NA,NA,0,235316.777147246,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.986169537590824,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11230CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,0.986169537590824,0.986169537590824,0,0,0,0,0.00536,1.07738179258124,0,0,26,70045.958588262,70045.958588262,1,2.47925891275495,NA,NA,NA,0,69077.1905910924,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0.986169537590824,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11258CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.58038887100672,3.58038887100672,0,0,0,0,0.08727,1.24786340127653,0,0,35,6087.65572615569,6087.65572615569,1,NA,NA,NA,NA,0,21796.1748124482,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.58038887100672,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11258CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.58038887100672,3.58038887100672,0,0,0,0,0.08727,1.16018008340086,0,0,31.9230769230769,6087.65572615569,6087.65572615569,1,NA,NA,NA,NA,0,21796.1748124482,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.58038887100672,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11258CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.58038887100672,3.58038887100672,0,0,0,0,0.08727,1.10507250177612,0,0,28.9230769230769,6087.65572615569,6087.65572615569,1,NA,NA,NA,NA,0,21796.1748124482,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.58038887100672,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11258CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,3.58038887100672,3.58038887100672,0,0,0,0,0.08727,1.07738179258124,0,0,26,6087.65572615569,6087.65572615569,1,NA,NA,NA,NA,0,21796.1748124482,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,3.58038887100672,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
