"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM362CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 24CT","NPP","ROM","Meijer",1,"Fancy Feast"
"ITEM363CWBEYONDMIXER","Wet Cat","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","NPP","Retailer","Meijer",2,"Beyond"
"ITEM364CWBEYONDMIXERS","Wet Cat","CW BEYOND MIXER BROTH 01OZ 8CT","NPP","Retailer","Meijer",1,"Beyond"
"ITEM364CWBEYONDMIXERS","Wet Cat","CW BEYOND MIXER BROTH 01OZ 8CT","NPP","ROM","Meijer",1,"Beyond"
"ITEM36CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","Retailer","Meijer",2,"Fancy Feast"
"ITEM36CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","ROM","Meijer",2,"Fancy Feast"
"ITEM375CLTIDYCATSCLUMPNONLWBOX","Litter","CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX","NPP","ROM","Meijer",1,"Tidy Cats"
"ITEM376CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","Meijer",1,"Tidy Cats"
"ITEM377CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 30LB","NPP","ROM","Meijer",2,"Tidy Cats"
"ITEM378BELLA","Wet Dog","DW BELLA 03.5OZ","NPP","Retailer","Meijer",2,"Bella"
"ITEM378BELLA","Wet Dog","DW BELLA 03.5OZ","NPP","ROM","Meijer",2,"Bella"
"ITEM378CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 50LB","NPP","ROM","Meijer",2,"Tidy Cats"
"ITEM379CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 52LB","NPP","ROM","Meijer",1,"Tidy Cats"
"ITEM37PURINAONEML","Dry Cat","DC PURINA ONE ML 22LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM37PURINAONEML","Dry Cat","DC PURINA ONE ML 22LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM3810018507","Dog Treats","DT BUSY TWISTED CW 66OZ","NPP","ROM","Meijer",1,"Busy"
