"Brand","PPG_Item","Category","Market","Retailer","Feature_Spend","Display_Spend"
"Beyond","DC BEYOND KITTEN 05LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND SIMPLY 03LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND SIMPLY 13LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND ORGANIC 03LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND ORGANIC 05LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","CW BEYOND MIXER PROTEIN 01.4OZ","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DD BEYOND GR FR 03LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","CW BEYOND 03OZ 12CT","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DW BEYOND GR FR 13OZ","Wet Dog","ROM","Family Dollar",0,0
"Beyond","DD BEYOND ORGANIC 03LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DD BEYOND SMP9 24LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND BROTH 01.6OZ","Wet Dog","ROM","Family Dollar",0,0
"Beyond","DD BEYOND SM-BRD/SPR FOOD 14.5LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND ORGANIC 13OZ 6CT","Wet Dog","ROM","Family Dollar",0,0
"Beyond","CT BEYOND CR 06OZ","Cat Treats","ROM","Family Dollar",0,0
"Beyond","DC BEYOND GR FR 05LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","DW BEYOND MIXERS SUPPORT 03OZ","Wet Dog","ROM","Family Dollar",0,0
"Beyond","CW BEYOND ORGANIC 03OZ","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DC BEYOND SIMPLY 06LB","Dry Cat","ROM","Family Dollar",0,0
"Beyond","CW BEYOND MIXER BROTH 01OZ 8CT","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DD BEYOND SMP9 03-4LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND ORGANIC 13OZ","Wet Dog","ROM","Family Dollar",0,0
"Beyond","CW BEYOND MIXER BROTH 01OZ","Wet Cat","ROM","Family Dollar",0,0
"Beyond","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DD BEYOND SM-BRD/SPR FOOD 03-4LB","Dry Dog","ROM","Family Dollar",0,0
"Beyond","CW BEYOND MIXER DIGEST SUPPORT 01OZ","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DW BEYOND MIXERS DIGT PUMP 08OZ","Wet Dog","ROM","Family Dollar",0,0
"Beyond","CW BEYOND ORGANIC 03OZ 6CT","Wet Cat","ROM","Family Dollar",0,0
"Beyond","DW BEYOND COMPLIMENTS 02OZ","Wet Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND PREMIUM 13OZ","Wet Dog","ROM","Family Dollar",0,0
"Beyond","DW BEYOND WILD 13OZ","Wet Dog","ROM","Family Dollar",0,0
"Busy","DT BUSY CW 01.2-1.7OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY CHEWNOLA CW 04OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY TWISTED CW 66OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY TWISTED CW 20.2-21OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY TWISTED CW 05.3-7OZ","Dog Treats","Retailer","Family Dollar",0,0
"Busy","DT BUSY TWISTED CW 05.3-7OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY CW 01.2-1.7OZ","Dog Treats","Retailer","Family Dollar",0,0
"Busy","DT BUSY TWISTS CW 06.5OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY WRAPS CW 07.8OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY ROLLHIDE CW 20OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY TWISTED CW 50.5OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY RIB HIDE CW 17.5OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY ROLLHIDE CW 04-6OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY TWISTED CW 36OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY CWNOLA CW 20OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY CW 06.5-7OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY ROLLHIDE CW 12OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY CW 35OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY RIB HIDE CW 08.8OZ","Dog Treats","ROM","Family Dollar",0,0
"Busy","DT BUSY CW 17-21OZ","Dog Treats","ROM","Family Dollar",0,0
"Cat Chow Line","DC CAT/KITTEN CHOW 06.3LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 20LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW NATURALS 01LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT CHOW NATURALS GF 03.2LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 12LB","Dry Cat","Retailer","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT CHOW NATURALS GF 06.3LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW NATURALS 18LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT CHOW NATURALS GF 13LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 13-15LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 03.2LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 16-8LB","Dry Cat","Retailer","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW NATURALS 13LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 03.2LB","Dry Cat","Retailer","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 01.1LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 25LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW NATURALS 03.2LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW 12LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW NATURALS 03.2LB","Dry Cat","Retailer","Family Dollar",2428.74291666667,0
"Cat Chow Line","DC CAT/KITTEN CHOW NATURALS 06.3LB","Dry Cat","ROM","Family Dollar",2428.74291666667,0
"Dentalife","CT DENTALIFE DNT 01.8OZ","Cat Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE DT 02.1OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","CT DENTALIFE DNT 19OZ","Cat Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE ACTIVEFRESH DT 16.9OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE ACTIVEFRESH DT 24.1OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE DT 02.1OZ","Dog Treats","Retailer","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE ACTIVEFRESH DT 01.1OZ","Dog Treats","Retailer","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE ACTIVEFRESH DT 01.1OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE ACTIVEFRESH DT 15.5OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE ACTIVEFRESH DT 06.1-7.2OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE DT 17.1-20.7OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE DT 06.8-7.8OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dentalife","DT DENTALIFE DT 28.5OZ","Dog Treats","ROM","Family Dollar",1041.75,0
"Dog Chow Line","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 01LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW LX 04LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 32-36LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 04LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DW DOG CHOW ML 13 OZ 24CT","Wet Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 46-48LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 14LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW HI PROTEIN 20LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 01LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 40LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 16.5LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 18.5-20LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 30-33.5LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW HI PROTEIN 13LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 18.5-20LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 48-55LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 42-46LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 01LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DW DOG CHOW ML 13 OZ 12CT","Wet Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW HI PROTEIN 13LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 16.5LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW LX 03.5LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 04.4LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 01LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 04.4LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW LX 32-36LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 33.6-36LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DW PUPPY CHOW 05.5OZ","Wet Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DT PUPPY CHOW MT 07OZ","Dog Treats","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 30-33.5LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 57LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW LX 40LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DT PUPPY CHOW MT 24OZ","Dog Treats","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 04.4LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 08.8LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DW PUPPY CHOW 05.5OZ 8 CT","Wet Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DW DOG CHOW ML 13 OZ","Wet Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DW DOG CHOW ML 13 OZ 12CT","Wet Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW LX 16.5-18LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW LX 13.5LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 04.4LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 04LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DW DOG CHOW ML 13 OZ","Wet Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD PUPPY CHOW 04LB","Dry Dog","ROM","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW GREEN BG 33.6-36LB","Dry Dog","Retailer","Family Dollar",2500,0
"Dog Chow Line","DD DOG CHOW LX 13.5LB","Dry Dog","ROM","Family Dollar",2500,0
