"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1769FRISKIESFRMFAV","Dry Cat","DC FRISKIES ML 12LB","NPP","Retailer","Family Dollar",1,"Friskies"
"ITEM1769FRISKIESFRMFAV","Dry Cat","DC FRISKIES ML 12LB","NPP","ROM","Family Dollar",1,"Friskies"
"ITEM1770CATCHOWCMP","Dry Cat","DC CAT/KITTEN CHOW 13-15LB","NPP","ROM","Family Dollar",2,"Cat Chow Line"
"ITEM1777CATCHOWLX","Dry Cat","DC CAT/KITTEN CHOW 16-8LB","NPP","Retailer","Family Dollar",1,"Cat Chow Line"
"ITEM1780015827","Wet Cat","CW PURINA ONE TRU INST 03OZ","NPP","ROM","Family Dollar",2,"Purina One"
"ITEM1780018530","Wet Cat","CW PURINA ONE ML 03OZ 12CT","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1786PURINAONEML","Dry Cat","DC PURINA ONE ML 02.8LB","NPP","Retailer","Family Dollar",2,"Purina One"
"ITEM1786PURINAONEML","Dry Cat","DC PURINA ONE ML 02.8LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1793KITKABOODLE","Dry Cat","DC KIT KABOODLE 22LB","NPP","Retailer","Family Dollar",2,"Kit & Kaboodle"
"ITEM1793KITKABOODLE","Dry Cat","DC KIT KABOODLE 22LB","NPP","ROM","Family Dollar",2,"Kit & Kaboodle"
"ITEM1806CATCHOWLX","Dry Cat","DC CAT/KITTEN CHOW 12LB","NPP","Retailer","Family Dollar",2,"Cat Chow Line"
"ITEM1806CATCHOWLX","Dry Cat","DC CAT/KITTEN CHOW 12LB","NPP","ROM","Family Dollar",1,"Cat Chow Line"
"ITEM1817DCBEYONDGRFR","Dry Cat","DC BEYOND GR FR 05LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1818DCBEYONDGRFR","Dry Cat","DC BEYOND GR FR 11LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1819DCBEYONDGRFR","Dry Cat","DC BEYOND GR FR 03LB","NPP","ROM","Family Dollar",2,"Beyond"
"ITEM1821DCBEYONDKITTEN","Dry Cat","DC BEYOND KITTEN 03LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1822DCBEYONDKITTEN","Dry Cat","DC BEYOND KITTEN 05LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1823DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 03LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1824DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 06LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1825DCBEYONDSIMPLY","Dry Cat","DC BEYOND SIMPLY 13LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1826DCBEYONDORGANIC","Dry Cat","DC BEYOND ORGANIC 03LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1827DCBEYONDORGANIC","Dry Cat","DC BEYOND ORGANIC 05LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1828DCBEYONDREGIONAL","Dry Cat","DC BEYOND REGIONAL 03LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM182DENTALIFEDT","Dog Treats","DT DENTALIFE DT 02.1OZ","NPP","Retailer","Family Dollar",1,"Dentalife"
"ITEM182DENTALIFEDT","Dog Treats","DT DENTALIFE DT 02.1OZ","NPP","ROM","Family Dollar",1,"Dentalife"
"ITEM182PURINAONETRUINST","Wet Dog","DW PURINA ONE TRU INST 13OZ","NPP","Retailer","Family Dollar",2,"Purina One"
"ITEM182PURINAONETRUINST","Wet Dog","DW PURINA ONE TRU INST 13OZ","NPP","ROM","Family Dollar",2,"Purina One"
"ITEM1851DCCNPORGANIX","Dry Cat","DC C&P ORGANIX 03-4LB","NPP","ROM","Family Dollar",1,"A/O Brand"
"ITEM1853DCCNPPRISTINE","Dry Cat","DC C&P PRISTINE 03LB","NPP","ROM","Family Dollar",1,"A/O Brand"
"ITEM1857DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 06.3LB","NPP","ROM","Family Dollar",2,"Cat Chow Line"
"ITEM1858DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 20LB","NPP","ROM","Family Dollar",2,"Cat Chow Line"
"ITEM1859DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 25LB","NPP","ROM","Family Dollar",1,"Cat Chow Line"
"ITEM1860DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 03.2LB","NPP","Retailer","Family Dollar",2,"Cat Chow Line"
"ITEM1860DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 03.2LB","NPP","ROM","Family Dollar",2,"Cat Chow Line"
"ITEM1861DCCATKITTENCHOW","Dry Cat","DC CAT/KITTEN CHOW 01.1LB","NPP","ROM","Family Dollar",1,"Cat Chow Line"
"ITEM1862DCCATKITTENCHOWNATURALS","Dry Cat","DC CAT/KITTEN CHOW NATURALS 06.3LB","NPP","ROM","Family Dollar",2,"Cat Chow Line"
"ITEM1863DCCATCHOWNATURALSGF","Dry Cat","DC CAT CHOW NATURALS GF 13LB","NPP","ROM","Family Dollar",1,"Cat Chow Line"
