"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","category_trend","flag_qtr2","flag_qtr3","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","Intercept","Market","flag_qtr4","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_4","WB_Comp_Interaction_RP_1","WB_Comp_Interaction_RP_2","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","CB_Comp_TPR_5","WB_Comp_Interaction_RP_3","WB_Comp_RP_4","CB_Comp_TPR_6","CB_Comp_RP_5","Model_flag"
"ITEM120010CWBEYONDMIXERDIGESTSUPPORT_ROM","Wet Cat","Amazon","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT",-1.41873296153635,2.25302839968384,-0.358203652977011,-0.429655392138538,0,0,0,0,0,0,0,0,0,0,0,8.20910305691947,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120011CWBEYONDMIXERDIGESTSUPPORT_ROM","Wet Cat","Amazon","CW BEYOND MIXER DIGEST SUPPORT 01OZ",-1.75998038232639,2.86939646266108,-0.603306064124252,-0.136647713680821,0,0,0,0.0737524947972884,0,0,0,0,0,0,0,6.60028219364882,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120014CWBEYONDORGANIC_Retailer","Wet Cat","Amazon","CW BEYOND ORGANIC 03OZ",-2.98231563009688,3.95569661771905,-0.491058956249273,-0.384404656397388,0,0,0,0.139283577153135,0,0,0,0,0,0,0,6.6192523662505,"Retailer",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120014CWBEYONDORGANIC_ROM","Wet Cat","Amazon","CW BEYOND ORGANIC 03OZ",-0.0289916554237249,1.11056045617029,-0.283930469205014,-0.284206069031421,0,0,0,0.0615440724597225,0,0,0,0,0,0,0,7.69151225337835,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120016CWCNPORGANIX_Retailer","Wet Cat","Amazon","CW C&P ORGANIX 03OZ",-1.65911894323067,0,0,0,0.532497887211325,0,0,0,1.11812844378111,-0.505905880150003,0,0,-0.82943120413641,-2.59056984863414,-1.79761534712446,5.73019262203473,"Retailer",0.0183549282858063,1.97253033521353,0,0,0,NA,0,0,0,0,-0.900298807357154,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120016CWCNPORGANIX_ROM","Wet Cat","Amazon","CW C&P ORGANIX 03OZ",-3.18851307880138,0,0,0,0.818961865428093,0,0,0.0222832279682895,0,-0.946024642124145,0,0,0,0,0,9.33976177363222,"ROM",0.0886457112005837,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120017CWCNPORGANIX_Retailer","Wet Cat","Amazon","CW C&P ORGANIX 05.5OZ",-2.85592866020398,1.82257826194199,-0.828545428690434,-0.793053051494518,0.124498620023976,0,0,0.0128059698730473,1.07735949537845,-1.44807269482198,-1.07073855438289,0,-0.0510139775850076,-0.701697730290637,-6.17449134200246,7.7726199607061,"Retailer",0.246980874551428,0.00897108663817332,0.367809196150273,-0.701507767987631,0,NA,0,0,0,-0.506713797540782,0,NA,0,NA,-2.45248876618998,NA,NA,NA,0,2
"ITEM120017CWCNPORGANIX_ROM","Wet Cat","Amazon","CW C&P ORGANIX 05.5OZ",-1.42334563113252,1.91161657212367,-1.80493769608124,-0.809330681259975,0,0,0,0,0,0,0,0,0,0,0,9.51295128277269,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120018CWCNPPRISTINE_Retailer","Wet Cat","Amazon","CW C&P PRISTINE 03OZ CAN",-1.13493516082639,1.99458291351577,-0.333784235322107,-0.098661259630119,0.246377436980187,0,0,0,0,-6.34051349067183,0,0,0,0,0,8.81414860216357,"Retailer",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
"ITEM120018CWCNPPRISTINE_ROM","Wet Cat","Amazon","CW C&P PRISTINE 03OZ CAN",-0.688914106785393,0.819897681020185,-1.090354067364,-0.199582777718296,0,0,0,0,0,0,0,0,0,0,0,8.94377802997719,"ROM",0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,0,2
