"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM17BEYOND","Dry Cat","DC BEYOND SIMPLY 03LB","NPP","ROM","Brookshire",1,"Beyond"
"ITEM17CTBEYONDCR","Cat Treats","CT BEYOND CR 02.1OZ","NPP","Retailer","Brookshire",0,"Beyond"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","Retailer","Brookshire",0,"Friskies"
"ITEM18CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","ROM","Brookshire",2,"Friskies"
"ITEM190CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 60CT","NPP","ROM","Brookshire",1,"Friskies"
"ITEM19BEGGINMT","Dog Treats","DT BEGGIN MT 06OZ","NPP","Retailer","Brookshire",2,"Beggin'"
"ITEM19BEGGINMT","Dog Treats","DT BEGGIN MT 06OZ","NPP","ROM","Brookshire",2,"Beggin'"
"ITEM1BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","Retailer","Brookshire",2,"Beneful"
"ITEM1BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","ROM","Brookshire",2,"Beneful"
"ITEM1CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","Retailer","Brookshire",2,"Fancy Feast"
"ITEM1CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM20001DTBEGGINFUNSIZEMT","Dog Treats","DT BEGGIN FUN SIZE MT 15OZ","NPP","ROM","Brookshire",1,"Beggin'"
"ITEM20012DTPRIMEBARSCR","Dog Treats","DT PRIME BARS CR 16OZ","NPP","ROM","Brookshire",1,"Prime"
"ITEM20CTDENTALIFEDNT","Cat Treats","CT DENTALIFE DNT 13.5OZ","NPP","Retailer","Brookshire",0,"Dentalife"
"ITEM20CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","Retailer","Brookshire",2,"Friskies"
"ITEM20CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 32CT","NPP","ROM","Brookshire",2,"Friskies"
"ITEM219CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ","NPP","Retailer","Brookshire",0,"Fancy Feast"
"ITEM219CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM21TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 06LB","NPP","Retailer","Brookshire",0,"Tidy Cats"
"ITEM21TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 06LB","NPP","ROM","Brookshire",1,"Tidy Cats"
"ITEM224CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 12CT","NPP","Retailer","Brookshire",0,"Fancy Feast"
"ITEM224CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 12CT","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM226CWFANCYFEASTPETITES","Wet Cat","CW FANCY FEAST PETITES 02.8OZ 24CT","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM22TBONZMT","Dog Treats","DT T BONZ MT 04.5OZ","NPP","Retailer","Brookshire",1,"Alpo"
"ITEM22TBONZMT","Dog Treats","DT T BONZ MT 04.5OZ","NPP","ROM","Brookshire",1,"Alpo"
"ITEM234BELLA","Wet Dog","DW BELLA 03.5OZ","NPP","Retailer","Brookshire",2,"Bella"
"ITEM234BELLA","Wet Dog","DW BELLA 03.5OZ","NPP","ROM","Brookshire",2,"Bella"
"ITEM236CWBEYONDORGANIC","Wet Cat","CW BEYOND ORGANIC 03OZ","NPP","ROM","Brookshire",1,"Beyond"
"ITEM23CWFANCYFEASTPURELY","Wet Cat","CW FANCY FEAST PURELY 02OZ","NPP","Retailer","Brookshire",2,"Fancy Feast"
"ITEM23CWFANCYFEASTPURELY","Wet Cat","CW FANCY FEAST PURELY 02OZ","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM245CWCNPORGANIX","Wet Cat","CW C&P ORGANIX 05.5OZ","NPP","ROM","Brookshire",1,"A/O Brand"
