"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_ROM","CW FRISKIES FAV 05.5OZ",0.542255102453769,0,0,"monthno",0.0151059005292998,0.148610004690811,"No Change",-1.35756598797517,0.994289100733137,1.00011077738017,"No Change",3.57981790170647,0.776880062903894,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM162CWFRISKIESFAV","ROM","monthno",NA,NA,NA,NA,NA,NA,"monthno","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_Retailer","CW FRISKIES FAV 05.5OZ",0.881942371929856,1.34423665701118,0.118944067786344,"ACV_Selling",6.21712750205059,0.480828363395641,"Brand in Retailer",-1.39094919181508,NA,NA,"Capped to 2.5",2.5,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Big Y","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM162CWFRISKIESFAV","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_Retailer","CW FRISKIES FAV 05.5OZ",0.881942371929856,1.34423665701118,0.118944067786344,"category_trend",-4.8082020732289,0.480828363395641,"Brand in Retailer",-1.39094919181508,NA,NA,"Capped to 2.5",2.5,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Big Y","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM162CWFRISKIESFAV","Retailer","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_Retailer","CW FRISKIES FAV 05.5OZ",0.881942371929856,1.34423665701118,0.118944067786344,"wk_sold_median_base_price_byppg_log",-1.39094919181508,0.480828363395641,"Brand in Retailer",-1.39094919181508,NA,NA,"Capped to 2.5",2.5,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Big Y","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM162CWFRISKIESFAV","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CW FRISKIES FAV 05.5OZ"
"ITEM162CWFRISKIESFAV","Wet Cat","NPP","ITEM162CWFRISKIESFAV_Retailer","CW FRISKIES FAV 05.5OZ",0.881942371929856,1.34423665701118,0.118944067786344,"tpr_discount_byppg",2.5,0.480828363395641,"Brand in Retailer",-1.39094919181508,NA,NA,"Capped to 2.5",2.5,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Big Y","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM162CWFRISKIESFAV","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CW FRISKIES FAV 05.5OZ"
"ITEM16CWFANCYFEASTMEDLEYS","Wet Cat","NPP","ITEM16CWFANCYFEASTMEDLEYS_ROM","CW FANCY FEAST MEDLEYS 03OZ",0.902929918810718,0,0,"wk_sold_median_base_price_byppg_log",-2.73012359752414,0.074023994140834,"No Change",-1.99165484112714,0.751354768160101,1.00001768505335,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM16CWFANCYFEASTMEDLEYS","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CW FANCY FEAST MEDLEYS 03OZ"
"ITEM16CWFANCYFEASTMEDLEYS","Wet Cat","NPP","ITEM16CWFANCYFEASTMEDLEYS_ROM","CW FANCY FEAST MEDLEYS 03OZ",0.902929918810718,0,0,"ACV_Feat_Only",0.0892988784864833,0.074023994140834,"No Change",-1.99165484112714,0.751354768160101,0.999956071727276,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM16CWFANCYFEASTMEDLEYS","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CW FANCY FEAST MEDLEYS 03OZ"
"ITEM16CWFANCYFEASTMEDLEYS","Wet Cat","NPP","ITEM16CWFANCYFEASTMEDLEYS_ROM","CW FANCY FEAST MEDLEYS 03OZ",0.902929918810718,0,0,"ACV_Selling",1.71555178333594,0.074023994140834,"No Change",-1.99165484112714,0.751354768160101,0.999981724205349,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM16CWFANCYFEASTMEDLEYS","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CW FANCY FEAST MEDLEYS 03OZ"
"ITEM16CWFANCYFEASTMEDLEYS","Wet Cat","NPP","ITEM16CWFANCYFEASTMEDLEYS_ROM","CW FANCY FEAST MEDLEYS 03OZ",0.902929918810718,0,0,"flag_qtr3",0.0227289801586495,0.074023994140834,"No Change",-1.99165484112714,0.751354768160101,1.0000003397175,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM16CWFANCYFEASTMEDLEYS","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CW FANCY FEAST MEDLEYS 03OZ"
"ITEM16CWFANCYFEASTMEDLEYS","Wet Cat","NPP","ITEM16CWFANCYFEASTMEDLEYS_ROM","CW FANCY FEAST MEDLEYS 03OZ",0.902929918810718,0,0,"category_trend",1.50246504876095,0.074023994140834,"No Change",-1.99165484112714,0.751354768160101,1.00002416713852,"",NA,NA,"1st Pass","No Change",2,"Big Y","ROM",NA,NA,NA,NA,NA,"ROM","ITEM16CWFANCYFEASTMEDLEYS","ROM","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CW FANCY FEAST MEDLEYS 03OZ"
