"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","WB_Comp_Interaction_RP_1","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","Model_flag"
"ITEM1100CLTIDYCATSCLUMPNONLW_ROM","Litter","Target","CL TIDY CATS CLUMP NON-LW 14LB",-1.31807099769189,0.403948340640095,-0.592025477995051,-0.633159845794977,0,1.17667057721273,12.7282392839515,0,0.379862886419443,0,0,0,0,NA,0,NA,NA,0,0,13.6522556898127,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1101CLTIDYCATSNONCLUMP_ROM","Litter","Target","CL TIDY CATS NON-CLUMP 40LB",-1.20914453877909,0,0,0,0,3.94405162348121,0,10,0.355162208092834,0,0,0,-0.000729981181596202,NA,0,NA,NA,0,0,11.2011484243445,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1102CLTIDYCATSNONCLUMP_ROM","Litter","Target","CL TIDY CATS NON-CLUMP 10LB",-0.617875136639299,0,0,0,0,0.669372895917142,9.27542743151214,0,0.726099514491013,-0.0203279162942405,0,0.0156287986473396,0,NA,0,NA,NA,0,0,11.3348279704436,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1103CLTIDYCATSNONCLUMP_ROM","Litter","Target","CL TIDY CATS NON-CLUMP 30LB",-0.566995688373307,0,0,0,0,4.60906109688066,4.59266277732544,0,1.2223828970329,0.0441930261580404,0,0.0146609474435625,-0.0118981507362247,NA,0,NA,NA,0,0,10.7666981401327,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1104CLTIDYCATSNONCLUMP_ROM","Litter","Target","CL TIDY CATS NON-CLUMP 50LB",0,0,0,0,0,0,10,0,0.797208650932357,0,0,0,0,NA,0,NA,NA,0,0,8.74902505563494,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1105CLTIDYCATSNONCLUMP_ROM","Litter","Target","CL TIDY CATS NON-CLUMP 52LB",0,2.12893484860406,-0.0972348755623586,0,0,0,10,0,0,0,0,0,0,NA,0,NA,NA,0,0,9.68484843201846,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1106CLTIDYCATSCLUMPNONLWECOM_ROM","Litter","Target","CL TIDY CATS CLUMP NON-LW BAG ECOM 40LB",-2.5,9.20185108383107,0,0,0,10,10,10,0,0,0,0,0.0977745413151272,NA,0,NA,NA,0,0,8.32498230150563,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1107CLTIDYCATSCLUMPNONLW_ROM","Litter","Target","CL TIDY CATS CLUMP NON-LW 20LB 2PK",0,1.79092525545894,0,-0.121306964835859,0,8.82467976343676,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,10.021142841809,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1107DDPROPLANSPORTPERFORM_ROM","Dry Dog","Target","DD PRO PLAN SPORT PERFORM 37.5LB",-0.0802675643332653,0,0,-0.958158282228123,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5.76950470796772,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1108CLTIDYCATSCLUMPNONLWPAIL_ROM","Litter","Target","CL TIDY CATS CLUMP NON-LW PAIL 38LB",0,0,0,0,0,10,10,0,0,0,0,0,0,NA,0,NA,NA,0,0,7.45022341917166,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1109CLTIDYCATSCLUMPNONLW_ROM","Litter","Target","CL TIDY CATS CLUMP NON-LW 10LB",0,0,0,0,0,2.40483311842475,10,10,0,0,0,0,0.00607327513558752,NA,0,NA,NA,0,0,10.1197654273376,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
