"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2"
1113216523,"ROM","DD ALPO 47-50LB","ITEM1465DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 52 POUND","Target","ALPO",NA,0,0.0329257293831571,0.0284394671087269,0.0130129295123778,0.0007850455581247,0.00101422435164259,0.000794456599630419,0.0084545147108556,0,0
1113216524,"ROM","DD ALPO 28-31LB","ITEM1464DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 31 POUND","Target","ALPO",NA,0,0.589145894584106,0.602169863211314,0.596236412251083,0.583643949541889,0.599834179504435,0.296735801388188,0.0447619341144046,0.0103854894401416,0.00368270581964433
1113216525,"ROM","DD ALPO 37-41LB","ITEM958DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 41 POUND","Target","ALPO",NA,0,0.260695713183896,0.240366623271132,0.224027361027449,0.205864591353373,0.245069982274159,0.165761482407137,0.0159625833193301,0,0
1113216828,"ROM","DW ALPO 13.2OZ 06CT","ITEM525DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE X6","Target","ALPO",NA,0,0.507278027070767,0.338566470255872,0.390986601705238,0.708333333333333,1,0.806464099090381,NA,0,NA
1113216830,"ROM","DD ALPO 14LB","ITEM1223DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 14 POUND","Target","ALPO",NA,0,0.151531183843301,0.018233521309576,0.00351574852651141,0.00107694145621349,0.000685465903072673,0.000285020631170707,0.0000915947909257302,0.0000415278942865923,0.0000101896082299428
1113216831,"ROM","DW ALPO 13.2OZ 24CT","ITEM526DWALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 316.8 OUNCE","Target","ALPO",NA,0,0,0.0000441645413585252,0,0,0,0,NA,NA,NA
1113216835,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS WET DOG FOOD ADULT ROAST BEEF WET BAG 3.5 OUNCE","Target","ALPO",NA,0,0.00163897378856657,0.00161586642024119,0.00129301354511934,0.000128968612709721,0.0000346457362458815,0.000308895449174015,0.000815510850663201,0.00040616581402367,0.00406027552301358
1113216837,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS WET DOG FOOD ADULT CHICKEN WET BAG 3.5 OUNCE","Target","ALPO",NA,0,0.00174708938645331,0.00141618223333385,0.0016642406565546,0.000513509694287278,0.0000557164791070477,0.00126858731161073,0.000269444253348706,0.000613279526099941,0.00406027552301358
1113216839,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS WET DOG FOOD ADULT BEEF WET BAG 3.5 OUNCE","Target","ALPO",NA,0,0.00123450629191815,0.000669117862845875,0.000622105502219503,0.0010037467961546,0.000220830468544286,0.000388099065174729,0.000436135468789888,0.000692900366878901,0.0001888851657524
1113216841,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO GRAVY CRAVERS DOG FOOD-WET TYPE BOX 42 OUNCE","Target","ALPO",NA,0,0.000127962631647134,0.0000267121806608887,0.000019375672573493,0.00000319785381541487,0.00000994295814399414,0,0,0,0
